,frequency,place_name,yr,period,index_nsa,Pct_change
216,monthly,East North Central Division,2009,1,171.89,
217,monthly,East North Central Division,2009,2,171.26,-0.003665134679155302
218,monthly,East North Central Division,2009,3,170.48,-0.0045544785705944335
219,monthly,East North Central Division,2009,4,170.35,-0.0007625527921163444
220,monthly,East North Central Division,2009,5,173.98,0.021309069562664984
221,monthly,East North Central Division,2009,6,173.14,-0.004828141165651223
222,monthly,East North Central Division,2009,7,171.89,-0.007219591082361143
223,monthly,East North Central Division,2009,8,171.07,-0.004770492756995703
224,monthly,East North Central Division,2009,9,170.79,-0.001636756883147239
225,monthly,East North Central Division,2009,10,169.0,-0.01048070730136419
226,monthly,East North Central Division,2009,11,169.93,0.005502958579881589
227,monthly,East North Central Division,2009,12,165.73,-0.024716059553934078
228,monthly,East North Central Division,2010,1,164.21,-0.009171544077716698
229,monthly,East North Central Division,2010,2,163.82,-0.0023750076122039943
230,monthly,East North Central Division,2010,3,164.67,0.005188621657917114
231,monthly,East North Central Division,2010,4,166.6,0.011720410518005764
232,monthly,East North Central Division,2010,5,169.37,0.01662665066026414
233,monthly,East North Central Division,2010,6,168.13,-0.007321249335773827
234,monthly,East North Central Division,2010,7,167.19,-0.005590911794444708
235,monthly,East North Central Division,2010,8,167.56,0.0022130510197979625
236,monthly,East North Central Division,2010,9,164.32,-0.019336357125805725
237,monthly,East North Central Division,2010,10,165.69,0.00833739045764359
238,monthly,East North Central Division,2010,11,164.26,-0.008630575170499144
239,monthly,East North Central Division,2010,12,159.87,-0.026725922318275863
240,monthly,East North Central Division,2011,1,158.25,-0.010133233252017315
241,monthly,East North Central Division,2011,2,157.09,-0.007330173775671356
242,monthly,East North Central Division,2011,3,154.78,-0.014704946209179504
243,monthly,East North Central Division,2011,4,157.18,0.015505879312572635
244,monthly,East North Central Division,2011,5,160.33,0.02004071764855575
245,monthly,East North Central Division,2011,6,162.26,0.012037672300879265
246,monthly,East North Central Division,2011,7,163.77,0.009306052015284338
247,monthly,East North Central Division,2011,8,161.57,-0.01343347377419557
248,monthly,East North Central Division,2011,9,161.07,-0.003094633904809019
249,monthly,East North Central Division,2011,10,158.57,-0.015521201961879894
250,monthly,East North Central Division,2011,11,160.8,0.014063189758466432
251,monthly,East North Central Division,2011,12,157.62,-0.01977611940298507
252,monthly,East North Central Division,2012,1,155.45,-0.013767288415175827
253,monthly,East North Central Division,2012,2,155.68,0.001479575426182267
254,monthly,East North Central Division,2012,3,157.4,0.011048304213771898
255,monthly,East North Central Division,2012,4,160.6,0.020330368487928796
256,monthly,East North Central Division,2012,5,164.39,0.023599003735989887
257,monthly,East North Central Division,2012,6,165.65,0.00766469979925799
258,monthly,East North Central Division,2012,7,166.03,0.002293993359492985
259,monthly,East North Central Division,2012,8,166.07,0.00024092031560551952
260,monthly,East North Central Division,2012,9,165.24,-0.004997892454988717
261,monthly,East North Central Division,2012,10,164.57,-0.004054708303074417
262,monthly,East North Central Division,2012,11,163.6,-0.005894148386704767
263,monthly,East North Central Division,2012,12,162.01,-0.009718826405867964
264,monthly,East North Central Division,2013,1,161.61,-0.002468983396086477
265,monthly,East North Central Division,2013,2,162.57,0.005940226471134125
266,monthly,East North Central Division,2013,3,165.41,0.01746939779787171
267,monthly,East North Central Division,2013,4,168.94,0.021340910464905383
268,monthly,East North Central Division,2013,5,171.83,0.017106665088197026
269,monthly,East North Central Division,2013,6,174.25,0.014083687365419317
270,monthly,East North Central Division,2013,7,175.49,0.007116212338593941
271,monthly,East North Central Division,2013,8,175.22,-0.0015385492050830063
272,monthly,East North Central Division,2013,9,174.32,-0.005136399954343118
273,monthly,East North Central Division,2013,10,172.76,-0.008949059201468601
274,monthly,East North Central Division,2013,11,172.87,0.0006367214633018481
275,monthly,East North Central Division,2013,12,171.62,-0.007230867125585738
276,monthly,East North Central Division,2014,1,170.7,-0.005360680573359811
277,monthly,East North Central Division,2014,2,171.04,0.0019917984768600405
278,monthly,East North Central Division,2014,3,173.23,0.012804022450888741
279,monthly,East North Central Division,2014,4,176.86,0.02095479997690952
280,monthly,East North Central Division,2014,5,178.68,0.010290625353386762
281,monthly,East North Central Division,2014,6,180.85,0.012144616073427317
282,monthly,East North Central Division,2014,7,181.59,0.004091788775228089
283,monthly,East North Central Division,2014,8,181.78,0.0010463131229692113
284,monthly,East North Central Division,2014,9,181.03,-0.0041258664319506755
285,monthly,East North Central Division,2014,10,180.61,-0.0023200574490415127
286,monthly,East North Central Division,2014,11,179.8,-0.004484801506007385
287,monthly,East North Central Division,2014,12,179.31,-0.002725250278086788
288,monthly,East North Central Division,2015,1,176.57,-0.015280798616920444
289,monthly,East North Central Division,2015,2,178.62,0.011610126295520162
290,monthly,East North Central Division,2015,3,181.45,0.01584369051617962
291,monthly,East North Central Division,2015,4,183.75,0.012675668228162129
292,monthly,East North Central Division,2015,5,187.22,0.018884353741496662
293,monthly,East North Central Division,2015,6,189.81,0.01383399209486158
294,monthly,East North Central Division,2015,7,189.35,-0.002423476107686673
295,monthly,East North Central Division,2015,8,187.88,-0.007763401109057266
296,monthly,East North Central Division,2015,9,188.52,0.0034064296359379576
297,monthly,East North Central Division,2015,10,188.14,-0.002015701251856683
298,monthly,East North Central Division,2015,11,187.9,-0.001275645795683955
299,monthly,East North Central Division,2015,12,187.22,-0.0036189462480042955
300,monthly,East North Central Division,2016,1,186.24,-0.005234483495353048
301,monthly,East North Central Division,2016,2,186.59,0.001879295532646097
302,monthly,East North Central Division,2016,3,190.44,0.020633474462725676
303,monthly,East North Central Division,2016,4,192.84,0.012602394454946486
304,monthly,East North Central Division,2016,5,195.42,0.013378967019290533
305,monthly,East North Central Division,2016,6,198.48,0.01565858151673316
306,monthly,East North Central Division,2016,7,198.81,0.001662636033857412
307,monthly,East North Central Division,2016,8,199.92,0.005583220159951718
308,monthly,East North Central Division,2016,9,199.32,-0.0030012004801920344
309,monthly,East North Central Division,2016,10,198.79,-0.002659040738510976
310,monthly,East North Central Division,2016,11,198.55,-0.0012073041903515325
311,monthly,East North Central Division,2016,12,198.07,-0.002417527071266745
312,monthly,East North Central Division,2017,1,196.01,-0.010400363507850785
313,monthly,East North Central Division,2017,2,198.5,0.01270343349829095
314,monthly,East North Central Division,2017,3,202.96,0.02246851385390425
315,monthly,East North Central Division,2017,4,205.12,0.010642491131257481
316,monthly,East North Central Division,2017,5,207.69,0.012529251170046773
317,monthly,East North Central Division,2017,6,209.48,0.008618614280899273
318,monthly,East North Central Division,2017,7,210.89,0.006730952835592774
319,monthly,East North Central Division,2017,8,210.97,0.0003793446820616886
320,monthly,East North Central Division,2017,9,211.0,0.0001422003128406235
321,monthly,East North Central Division,2017,10,210.88,-0.0005687203791469031
322,monthly,East North Central Division,2017,11,210.8,-0.0003793626707131459
323,monthly,East North Central Division,2017,12,210.43,-0.0017552182163188546
324,monthly,East North Central Division,2018,1,210.64,0.000997956565128355
325,monthly,East North Central Division,2018,2,212.18,0.007311052031902854
326,monthly,East North Central Division,2018,3,215.47,0.015505702705250313
327,monthly,East North Central Division,2018,4,219.21,0.017357404743119753
328,monthly,East North Central Division,2018,5,220.66,0.00661466173988412
329,monthly,East North Central Division,2018,6,224.25,0.016269373697090472
330,monthly,East North Central Division,2018,7,224.87,0.002764771460423754
331,monthly,East North Central Division,2018,8,224.8,-0.00031129096811488566
332,monthly,East North Central Division,2018,9,225.16,0.001601423487544329
333,monthly,East North Central Division,2018,10,224.98,-0.0007994315153668774
334,monthly,East North Central Division,2018,11,223.01,-0.008756333896346336
335,monthly,East North Central Division,2018,12,221.87,-0.005111878391103497
336,monthly,East North Central Division,2019,1,222.12,0.0011267859557397841
337,monthly,East North Central Division,2019,2,224.81,0.012110570862596814
338,monthly,East North Central Division,2019,3,226.48,0.007428495173702254
