,frequency,place_name,yr,period,index_nsa,Pct_change
894,monthly,Middle Atlantic Division,2009,1,203.63,
895,monthly,Middle Atlantic Division,2009,2,204.69,0.005205519815351334
896,monthly,Middle Atlantic Division,2009,3,204.6,-0.0004396892862377211
897,monthly,Middle Atlantic Division,2009,4,203.67,-0.00454545454545463
898,monthly,Middle Atlantic Division,2009,5,204.79,0.005499091667894085
899,monthly,Middle Atlantic Division,2009,6,204.05,-0.0036134576883636305
900,monthly,Middle Atlantic Division,2009,7,204.7,0.003185493751531432
901,monthly,Middle Atlantic Division,2009,8,205.33,0.003077674645823203
902,monthly,Middle Atlantic Division,2009,9,202.57,-0.013441776652218462
903,monthly,Middle Atlantic Division,2009,10,204.23,0.008194698129041722
904,monthly,Middle Atlantic Division,2009,11,202.39,-0.009009450129755736
905,monthly,Middle Atlantic Division,2009,12,202.23,-0.000790552892929508
906,monthly,Middle Atlantic Division,2010,1,201.77,-0.0022746377886563307
907,monthly,Middle Atlantic Division,2010,2,203.02,0.006195172721415565
908,monthly,Middle Atlantic Division,2010,3,201.23,-0.008816865333464818
909,monthly,Middle Atlantic Division,2010,4,199.82,-0.007006907518759653
910,monthly,Middle Atlantic Division,2010,5,202.75,0.014663196877189533
911,monthly,Middle Atlantic Division,2010,6,204.11,0.006707768187423024
912,monthly,Middle Atlantic Division,2010,7,203.12,-0.004850325804713229
913,monthly,Middle Atlantic Division,2010,8,201.64,-0.00728633320204819
914,monthly,Middle Atlantic Division,2010,9,199.57,-0.010265820273755222
915,monthly,Middle Atlantic Division,2010,10,201.64,0.010372300445958826
916,monthly,Middle Atlantic Division,2010,11,199.58,-0.010216226939099293
917,monthly,Middle Atlantic Division,2010,12,197.19,-0.011975147810401876
918,monthly,Middle Atlantic Division,2011,1,195.11,-0.010548202241492888
919,monthly,Middle Atlantic Division,2011,2,194.15,-0.00492030136845889
920,monthly,Middle Atlantic Division,2011,3,192.89,-0.0064898274530003075
921,monthly,Middle Atlantic Division,2011,4,195.88,0.015501062781896557
922,monthly,Middle Atlantic Division,2011,5,195.19,-0.0035225648356136396
923,monthly,Middle Atlantic Division,2011,6,197.38,0.01121983708181773
924,monthly,Middle Atlantic Division,2011,7,197.93,0.002786503191812839
925,monthly,Middle Atlantic Division,2011,8,196.65,-0.006466932754003896
926,monthly,Middle Atlantic Division,2011,9,195.0,-0.008390541571319687
927,monthly,Middle Atlantic Division,2011,10,193.76,-0.0063589743589743675
928,monthly,Middle Atlantic Division,2011,11,191.78,-0.010218827415359177
929,monthly,Middle Atlantic Division,2011,12,190.86,-0.004797163416414563
930,monthly,Middle Atlantic Division,2012,1,191.56,0.0036676097663208562
931,monthly,Middle Atlantic Division,2012,2,189.12,-0.01273752349133428
932,monthly,Middle Atlantic Division,2012,3,191.84,0.014382402707275865
933,monthly,Middle Atlantic Division,2012,4,192.6,0.00396163469557953
934,monthly,Middle Atlantic Division,2012,5,195.07,0.012824506749740339
