,frequency,place_name,yr,period,index_nsa,Pct_change
1911,monthly,Pacific Division,2009,1,187.53,
1912,monthly,Pacific Division,2009,2,189.28,0.009331840238895106
1913,monthly,Pacific Division,2009,3,186.83,-0.012943786982248406
1914,monthly,Pacific Division,2009,4,186.01,-0.004389016753198249
1915,monthly,Pacific Division,2009,5,186.45,0.0023654642223536193
1916,monthly,Pacific Division,2009,6,188.69,0.012013944757307549
1917,monthly,Pacific Division,2009,7,188.97,0.0014839154168213575
1918,monthly,Pacific Division,2009,8,189.59,0.0032809440651955235
1919,monthly,Pacific Division,2009,9,188.67,-0.004852576612690673
1920,monthly,Pacific Division,2009,10,189.2,0.0028091376477448193
1921,monthly,Pacific Division,2009,11,190.35,0.0060782241014798455
1922,monthly,Pacific Division,2009,12,186.72,-0.019070133963751013
1923,monthly,Pacific Division,2010,1,184.23,-0.013335475578406197
1924,monthly,Pacific Division,2010,2,186.95,0.01476415350377236
1925,monthly,Pacific Division,2010,3,187.03,0.00042792190425244847
1926,monthly,Pacific Division,2010,4,188.03,0.005346735817783221
1927,monthly,Pacific Division,2010,5,190.39,0.012551188640110622
1928,monthly,Pacific Division,2010,6,187.03,-0.01764798571353532
1929,monthly,Pacific Division,2010,7,186.87,-0.0008554777308452666
1930,monthly,Pacific Division,2010,8,184.51,-0.012629100444159103
1931,monthly,Pacific Division,2010,9,183.56,-0.005148772424258818
1932,monthly,Pacific Division,2010,10,180.62,-0.01601656134234042
1933,monthly,Pacific Division,2010,11,179.5,-0.006200863691728564
1934,monthly,Pacific Division,2010,12,177.06,-0.013593314763231223
1935,monthly,Pacific Division,2011,1,173.34,-0.021009827177228102
1936,monthly,Pacific Division,2011,2,173.31,-0.0001730702665282413
1937,monthly,Pacific Division,2011,3,172.16,-0.006635508626161246
1938,monthly,Pacific Division,2011,4,172.58,0.002439591078067016
1939,monthly,Pacific Division,2011,5,172.61,0.0001738324255418089
1940,monthly,Pacific Division,2011,6,172.87,0.0015062858467063123
1941,monthly,Pacific Division,2011,7,174.11,0.007173020188581125
1942,monthly,Pacific Division,2011,8,171.88,-0.012807994945724044
1943,monthly,Pacific Division,2011,9,172.47,0.0034326274144751423
