,frequency,place_name,yr,period,index_nsa,Pct_change
555,monthly,East South Central Division,2009,1,190.42,
556,monthly,East South Central Division,2009,2,190.22,-0.0010503098414031964
557,monthly,East South Central Division,2009,3,189.86,-0.0018925454736620217
558,monthly,East South Central Division,2009,4,191.07,0.006373117033603659
559,monthly,East South Central Division,2009,5,191.73,0.003454231433505983
560,monthly,East South Central Division,2009,6,194.92,0.01663798049340226
561,monthly,East South Central Division,2009,7,192.39,-0.012979683972911937
562,monthly,East South Central Division,2009,8,192.4,5.19777535215038e-05
563,monthly,East South Central Division,2009,9,189.14,-0.01694386694386707
564,monthly,East South Central Division,2009,10,192.54,0.01797610235804159
565,monthly,East South Central Division,2009,11,191.0,-0.007998338007686678
566,monthly,East South Central Division,2009,12,187.33,-0.019214659685863777
567,monthly,East South Central Division,2010,1,186.42,-0.004857737682165242
568,monthly,East South Central Division,2010,2,185.0,-0.007617208454028468
569,monthly,East South Central Division,2010,3,184.26,-0.0040000000000000036
570,monthly,East South Central Division,2010,4,187.03,0.01503310539455116
571,monthly,East South Central Division,2010,5,189.32,0.012244025022723592
572,monthly,East South Central Division,2010,6,187.14,-0.011514895415170145
573,monthly,East South Central Division,2010,7,187.32,0.0009618467457519486
574,monthly,East South Central Division,2010,8,186.93,-0.0020819987187699063
575,monthly,East South Central Division,2010,9,185.36,-0.00839886588562555
576,monthly,East South Central Division,2010,10,183.77,-0.008577902460077724
577,monthly,East South Central Division,2010,11,184.17,0.0021766338357729342
578,monthly,East South Central Division,2010,12,178.4,-0.031329749687788344
579,monthly,East South Central Division,2011,1,179.8,0.007847533632286963
580,monthly,East South Central Division,2011,2,178.03,-0.00984427141268085
581,monthly,East South Central Division,2011,3,176.67,-0.007639161938999162
582,monthly,East South Central Division,2011,4,179.1,0.013754457463066805
583,monthly,East South Central Division,2011,5,181.03,0.010776102735901683
584,monthly,East South Central Division,2011,6,181.89,0.004750593824228044
585,monthly,East South Central Division,2011,7,184.41,0.01385452746165261
586,monthly,East South Central Division,2011,8,182.97,-0.007808687164470474
587,monthly,East South Central Division,2011,9,180.91,-0.011258676285729963
588,monthly,East South Central Division,2011,10,179.46,-0.008015035100326084
589,monthly,East South Central Division,2011,11,179.77,0.0017274044355288787
590,monthly,East South Central Division,2011,12,182.35,0.014351671580352665
591,monthly,East South Central Division,2012,1,177.89,-0.0244584590074034
592,monthly,East South Central Division,2012,2,178.55,0.003710157962786065
593,monthly,East South Central Division,2012,3,182.07,0.01971436572388674
594,monthly,East South Central Division,2012,4,182.8,0.004009446916021453
595,monthly,East South Central Division,2012,5,186.97,0.02281181619256012
596,monthly,East South Central Division,2012,6,187.51,0.002888163876557659
597,monthly,East South Central Division,2012,7,186.61,-0.004799744013652463
598,monthly,East South Central Division,2012,8,185.8,-0.004340603397460008
599,monthly,East South Central Division,2012,9,184.75,-0.005651237890204608
600,monthly,East South Central Division,2012,10,186.07,0.007144790257104239
601,monthly,East South Central Division,2012,11,184.87,-0.006449185790293965
602,monthly,East South Central Division,2012,12,185.63,0.004110996916752319
603,monthly,East South Central Division,2013,1,183.76,-0.010073802725852565
604,monthly,East South Central Division,2013,2,185.56,0.009795385285154667
605,monthly,East South Central Division,2013,3,188.2,0.014227204138822946
606,monthly,East South Central Division,2013,4,190.39,0.011636556854410118
607,monthly,East South Central Division,2013,5,192.83,0.012815799149115126
608,monthly,East South Central Division,2013,6,195.22,0.012394336980760201
