,frequency,place_name,yr,period,index_nsa,Pct_change
1233,monthly,Mountain Division,2009,1,238.83,
1234,monthly,Mountain Division,2009,2,237.82,-0.004228949461960507
1235,monthly,Mountain Division,2009,3,230.68,-0.03002270624842307
1236,monthly,Mountain Division,2009,4,232.19,0.0065458644009015465
1237,monthly,Mountain Division,2009,5,232.31,0.0005168181230887914
1238,monthly,Mountain Division,2009,6,230.1,-0.009513150531617276
1239,monthly,Mountain Division,2009,7,230.16,0.00026075619295951036
1240,monthly,Mountain Division,2009,8,228.36,-0.007820646506777829
1241,monthly,Mountain Division,2009,9,225.21,-0.013794009458749312
1242,monthly,Mountain Division,2009,10,225.38,0.0007548510279293819
1243,monthly,Mountain Division,2009,11,225.76,0.0016860413523827056
1244,monthly,Mountain Division,2009,12,219.8,-0.026399716513111127
1245,monthly,Mountain Division,2010,1,220.83,0.004686078252957193
1246,monthly,Mountain Division,2010,2,219.45,-0.006249150930580205
1247,monthly,Mountain Division,2010,3,218.69,-0.0034632034632033903
1248,monthly,Mountain Division,2010,4,221.31,0.011980428917645947
1249,monthly,Mountain Division,2010,5,221.22,-0.0004066693777958763
1250,monthly,Mountain Division,2010,6,217.86,-0.015188500135611571
1251,monthly,Mountain Division,2010,7,216.71,-0.005278619296796183
1252,monthly,Mountain Division,2010,8,215.4,-0.006044944857182433
1253,monthly,Mountain Division,2010,9,210.75,-0.021587743732590536
1254,monthly,Mountain Division,2010,10,211.41,0.003131672597864732
1255,monthly,Mountain Division,2010,11,206.67,-0.022420888321271537
1256,monthly,Mountain Division,2010,12,204.34,-0.011274011709488496
1257,monthly,Mountain Division,2011,1,205.08,0.003621415288245222
1258,monthly,Mountain Division,2011,2,198.96,-0.029842012873025237
1259,monthly,Mountain Division,2011,3,198.56,-0.002010454362685987
1260,monthly,Mountain Division,2011,4,198.56,0.0
1261,monthly,Mountain Division,2011,5,200.92,0.011885576148267463
1262,monthly,Mountain Division,2011,6,201.91,0.004927334262393002
1263,monthly,Mountain Division,2011,7,203.09,0.00584418800455655
