,frequency,place_name,yr,period,index_nsa,Pct_change
1572,monthly,New England Division,2009,1,208.94,
1573,monthly,New England Division,2009,2,212.4,0.01655977792667751
1574,monthly,New England Division,2009,3,210.0,-0.011299435028248594
1575,monthly,New England Division,2009,4,211.37,0.006523809523809598
1576,monthly,New England Division,2009,5,208.83,-0.012016842503666525
1577,monthly,New England Division,2009,6,210.07,0.0059378441794759595
1578,monthly,New England Division,2009,7,209.52,-0.002618174894082892
1579,monthly,New England Division,2009,8,207.5,-0.009641084383352427
1580,monthly,New England Division,2009,9,206.82,-0.0032771084337349654
1581,monthly,New England Division,2009,10,207.52,0.0033845856300165345
1582,monthly,New England Division,2009,11,206.06,-0.0070354664610640105
1583,monthly,New England Division,2009,12,205.49,-0.0027661846064253037
1584,monthly,New England Division,2010,1,203.06,-0.011825392963161208
1585,monthly,New England Division,2010,2,200.84,-0.010932729242588368
1586,monthly,New England Division,2010,3,203.78,0.014638518223461405
1587,monthly,New England Division,2010,4,202.69,-0.005348905682598937
1588,monthly,New England Division,2010,5,206.12,0.016922393803345148
1589,monthly,New England Division,2010,6,206.5,0.0018435862604306852
1590,monthly,New England Division,2010,7,205.3,-0.005811138014527817
1591,monthly,New England Division,2010,8,206.29,0.004822211397954135
1592,monthly,New England Division,2010,9,203.16,-0.015172814969218074
1593,monthly,New England Division,2010,10,203.77,0.003002559558968443
1594,monthly,New England Division,2010,11,202.37,-0.006870491240123733
1595,monthly,New England Division,2010,12,199.96,-0.011908879774670145
1596,monthly,New England Division,2011,1,200.64,0.0034006801360271233
1597,monthly,New England Division,2011,2,195.11,-0.02756180223285476
1598,monthly,New England Division,2011,3,193.9,-0.006201629849828305
1599,monthly,New England Division,2011,4,199.04,0.02650850954100048
1600,monthly,New England Division,2011,5,199.28,0.001205787781350498
1601,monthly,New England Division,2011,6,201.24,0.009835407466880719
1602,monthly,New England Division,2011,7,199.69,-0.007702246074339114
1603,monthly,New England Division,2011,8,198.88,-0.004056287245230106
1604,monthly,New England Division,2011,9,198.8,-0.0004022526146418848
1605,monthly,New England Division,2011,10,197.72,-0.005432595573440668
1606,monthly,New England Division,2011,11,197.43,-0.0014667206150110745
1607,monthly,New England Division,2011,12,196.61,-0.004153370814972357
1608,monthly,New England Division,2012,1,193.71,-0.014750012715528227
1609,monthly,New England Division,2012,2,192.59,-0.005781838831242614
1610,monthly,New England Division,2012,3,194.29,0.008827041902487176
1611,monthly,New England Division,2012,4,194.49,0.0010293890575943099
1612,monthly,New England Division,2012,5,198.48,0.020515193583217517
1613,monthly,New England Division,2012,6,200.48,0.01007658202337769
1614,monthly,New England Division,2012,7,199.78,-0.0034916201117317636
1615,monthly,New England Division,2012,8,200.51,0.0036540194213634525
1616,monthly,New England Division,2012,9,198.95,-0.007780160590494245
1617,monthly,New England Division,2012,10,197.46,-0.007489318924352784
1618,monthly,New England Division,2012,11,199.92,0.012458219386204616
1619,monthly,New England Division,2012,12,199.67,-0.0012505002000799958
1620,monthly,New England Division,2013,1,197.88,-0.008964791906645897
1621,monthly,New England Division,2013,2,197.81,-0.0003537497473216078
1622,monthly,New England Division,2013,3,201.51,0.018704817754410685
1623,monthly,New England Division,2013,4,201.22,-0.001439134534266251
1624,monthly,New England Division,2013,5,206.88,0.028128416658383948
1625,monthly,New England Division,2013,6,207.81,0.004495359628770235
1626,monthly,New England Division,2013,7,209.64,0.008806120975891396
1627,monthly,New England Division,2013,8,209.53,-0.0005247090249951292
1628,monthly,New England Division,2013,9,206.51,-0.014413210518780195
1629,monthly,New England Division,2013,10,205.88,-0.003050699723984307
1630,monthly,New England Division,2013,11,205.8,-0.00038857586943841227
1631,monthly,New England Division,2013,12,203.18,-0.012730806608357681
1632,monthly,New England Division,2014,1,204.39,0.00595531056206311
1633,monthly,New England Division,2014,2,201.41,-0.014579969665834858
1634,monthly,New England Division,2014,3,207.9,0.03222282905516116
1635,monthly,New England Division,2014,4,206.17,-0.008321308321308396
1636,monthly,New England Division,2014,5,212.95,0.03288548285395554
1637,monthly,New England Division,2014,6,214.23,0.006010800657431314
1638,monthly,New England Division,2014,7,215.13,0.004201092283993901
1639,monthly,New England Division,2014,8,214.62,-0.002370659601171332
1640,monthly,New England Division,2014,9,212.84,-0.008293728450284199
1641,monthly,New England Division,2014,10,211.15,-0.00794023679759448
1642,monthly,New England Division,2014,11,211.3,0.0007103954534690704
1643,monthly,New England Division,2014,12,209.46,-0.008707998106956993
1644,monthly,New England Division,2015,1,208.62,-0.004010312231452318
1645,monthly,New England Division,2015,2,210.97,0.011264500047934112
1646,monthly,New England Division,2015,3,212.43,0.006920415224913601
1647,monthly,New England Division,2015,4,214.52,0.00983853504683907
1648,monthly,New England Division,2015,5,218.54,0.018739511467462222
1649,monthly,New England Division,2015,6,222.02,0.015923858332570706
1650,monthly,New England Division,2015,7,221.39,-0.0028375821998019024
1651,monthly,New England Division,2015,8,220.41,-0.004426577532860465
1652,monthly,New England Division,2015,9,219.92,-0.002223129622068054
1653,monthly,New England Division,2015,10,218.39,-0.006957075300109139
1654,monthly,New England Division,2015,11,219.23,0.0038463299601629863
1655,monthly,New England Division,2015,12,218.46,-0.00351229302558953
1656,monthly,New England Division,2016,1,219.3,0.003845097500686734
1657,monthly,New England Division,2016,2,216.19,-0.014181486548107691
1658,monthly,New England Division,2016,3,220.04,0.017808409269624015
1659,monthly,New England Division,2016,4,223.97,0.01786038902017828
1660,monthly,New England Division,2016,5,226.88,0.012992811537259508
1661,monthly,New England Division,2016,6,228.7,0.008021861777150807
1662,monthly,New England Division,2016,7,229.25,0.0024048972452994644
1663,monthly,New England Division,2016,8,229.78,0.0023118865866957883
1664,monthly,New England Division,2016,9,229.67,-0.00047871877448002476
1665,monthly,New England Division,2016,10,230.08,0.001785170026559868
1666,monthly,New England Division,2016,11,230.31,0.000999652294853881
1667,monthly,New England Division,2016,12,228.38,-0.008380009552342527
1668,monthly,New England Division,2017,1,229.13,0.0032840003502934145
1669,monthly,New England Division,2017,2,229.54,0.0017893772094443872
