,frequency,place_name,yr,period,index_nsa,Pct_change
2928,monthly,West South Central Division,2009,1,192.76,
2929,monthly,West South Central Division,2009,2,194.4,0.008507989209379563
2930,monthly,West South Central Division,2009,3,194.89,0.0025205761316871023
2931,monthly,West South Central Division,2009,4,195.21,0.0016419518702859293
2932,monthly,West South Central Division,2009,5,196.71,0.007684032580298039
2933,monthly,West South Central Division,2009,6,199.65,0.014945859386914728
2934,monthly,West South Central Division,2009,7,197.28,-0.011870773854244954
2935,monthly,West South Central Division,2009,8,197.17,-0.0005575831305758561
2936,monthly,West South Central Division,2009,9,195.51,-0.008419130699396482
2937,monthly,West South Central Division,2009,10,197.68,0.011099176512710418
2938,monthly,West South Central Division,2009,11,195.6,-0.010522055847834944
2939,monthly,West South Central Division,2009,12,194.72,-0.0044989775051124115
2940,monthly,West South Central Division,2010,1,194.12,-0.0030813475760065323
2941,monthly,West South Central Division,2010,2,193.52,-0.0030908716257984636
2942,monthly,West South Central Division,2010,3,194.58,0.005477470028937503
2943,monthly,West South Central Division,2010,4,197.08,0.012848185836159987
2944,monthly,West South Central Division,2010,5,199.49,0.012228536634869114
2945,monthly,West South Central Division,2010,6,198.09,-0.0070178956338663445
2946,monthly,West South Central Division,2010,7,197.6,-0.0024736231006108333
2947,monthly,West South Central Division,2010,8,197.06,-0.002732793522267185
2948,monthly,West South Central Division,2010,9,193.55,-0.017811833959200163
2949,monthly,West South Central Division,2010,10,192.89,-0.0034099715835702593
2950,monthly,West South Central Division,2010,11,192.62,-0.001399761522110965
2951,monthly,West South Central Division,2010,12,189.87,-0.014276814453327846
2952,monthly,West South Central Division,2011,1,189.84,-0.00015800284405120824
2953,monthly,West South Central Division,2011,2,189.16,-0.0035819637589549203
2954,monthly,West South Central Division,2011,3,190.09,0.0049164728272361735
2955,monthly,West South Central Division,2011,4,192.35,0.011889105160713287
2956,monthly,West South Central Division,2011,5,192.83,0.002495451000779969
2957,monthly,West South Central Division,2011,6,196.13,0.01711351968054764
2958,monthly,West South Central Division,2011,7,193.76,-0.012083821954825935
2959,monthly,West South Central Division,2011,8,192.62,-0.005883567299752146
2960,monthly,West South Central Division,2011,9,192.5,-0.0006229882670543141
2961,monthly,West South Central Division,2011,10,192.26,-0.0012467532467532738
2962,monthly,West South Central Division,2011,11,194.14,0.009778425049412176
2963,monthly,West South Central Division,2011,12,193.32,-0.004223756052333383
2964,monthly,West South Central Division,2012,1,190.23,-0.015983860955927964
2965,monthly,West South Central Division,2012,2,192.83,0.013667665457604006
2966,monthly,West South Central Division,2012,3,196.46,0.01882487164860236
2967,monthly,West South Central Division,2012,4,198.37,0.009722080830703472
2968,monthly,West South Central Division,2012,5,199.67,0.006553410293895112
2969,monthly,West South Central Division,2012,6,201.35,0.008413882906796344
2970,monthly,West South Central Division,2012,7,202.71,0.006754407747703084
2971,monthly,West South Central Division,2012,8,201.72,-0.004883824182329466
2972,monthly,West South Central Division,2012,9,202.07,0.0017350783263929692
2973,monthly,West South Central Division,2012,10,201.99,-0.00039590241005582616
2974,monthly,West South Central Division,2012,11,203.62,0.008069706421109935
2975,monthly,West South Central Division,2012,12,201.58,-0.010018662213927887
2976,monthly,West South Central Division,2013,1,202.91,0.006597876773489331
2977,monthly,West South Central Division,2013,2,204.47,0.00768813759794984
2978,monthly,West South Central Division,2013,3,207.32,0.013938475081919144
2979,monthly,West South Central Division,2013,4,209.45,0.010273972602739656
2980,monthly,West South Central Division,2013,5,212.38,0.013989018858916236
2981,monthly,West South Central Division,2013,6,214.05,0.007863263960824929
