,frequency,place_name,yr,period,index_nsa,Pct_change
2250,monthly,South Atlantic Division,2009,1,199.24,
2251,monthly,South Atlantic Division,2009,2,199.94,0.0035133507327844704
2252,monthly,South Atlantic Division,2009,3,196.92,-0.015104531359407924
2253,monthly,South Atlantic Division,2009,4,197.25,0.001675807434491139
2254,monthly,South Atlantic Division,2009,5,197.65,0.002027883396704677
2255,monthly,South Atlantic Division,2009,6,198.0,0.0017708069820390193
2256,monthly,South Atlantic Division,2009,7,197.84,-0.0008080808080808133
2257,monthly,South Atlantic Division,2009,8,195.0,-0.014355034371209108
2258,monthly,South Atlantic Division,2009,9,196.3,0.006666666666666821
2259,monthly,South Atlantic Division,2009,10,193.56,-0.013958227203260343
2260,monthly,South Atlantic Division,2009,11,194.15,0.0030481504443067298
2261,monthly,South Atlantic Division,2009,12,189.28,-0.0250836981715169
2262,monthly,South Atlantic Division,2010,1,190.52,0.006551141166525776
2263,monthly,South Atlantic Division,2010,2,187.21,-0.017373504094058356
2264,monthly,South Atlantic Division,2010,3,189.21,0.010683190000534193
2265,monthly,South Atlantic Division,2010,4,191.46,0.011891549072459151
2266,monthly,South Atlantic Division,2010,5,190.48,-0.005118562624046863
2267,monthly,South Atlantic Division,2010,6,190.89,0.0021524569508608593
2268,monthly,South Atlantic Division,2010,7,187.77,-0.01634449159201623
2269,monthly,South Atlantic Division,2010,8,186.95,-0.0043670447888375374
2270,monthly,South Atlantic Division,2010,9,183.88,-0.01642150307568868
2271,monthly,South Atlantic Division,2010,10,183.53,-0.0019034152708288232
2272,monthly,South Atlantic Division,2010,11,182.52,-0.005503187489783623
2273,monthly,South Atlantic Division,2010,12,180.91,-0.008820951128643562
2274,monthly,South Atlantic Division,2011,1,177.23,-0.020341606323586392
2275,monthly,South Atlantic Division,2011,2,175.15,-0.01173616204931438
2276,monthly,South Atlantic Division,2011,3,174.75,-0.002283756779903001
2277,monthly,South Atlantic Division,2011,4,176.15,0.008011444921316224
2278,monthly,South Atlantic Division,2011,5,177.42,0.007209764405336161
2279,monthly,South Atlantic Division,2011,6,178.75,0.007496336376958679
2280,monthly,South Atlantic Division,2011,7,178.04,-0.003972027972028003
2281,monthly,South Atlantic Division,2011,8,178.59,0.0030891934396766185
2282,monthly,South Atlantic Division,2011,9,180.64,0.011478806204154646
2283,monthly,South Atlantic Division,2011,10,177.8,-0.0157218777679361
2284,monthly,South Atlantic Division,2011,11,177.36,-0.002474690663667012
2285,monthly,South Atlantic Division,2011,12,178.37,0.005694632386107346
2286,monthly,South Atlantic Division,2012,1,175.81,-0.014352189269495996
2287,monthly,South Atlantic Division,2012,2,175.98,0.0009669529605824678
2288,monthly,South Atlantic Division,2012,3,178.81,0.016081372883282263
2289,monthly,South Atlantic Division,2012,4,182.69,0.021699010122476325
2290,monthly,South Atlantic Division,2012,5,184.25,0.0085390552301714
2291,monthly,South Atlantic Division,2012,6,185.56,0.0071099050203526915
2292,monthly,South Atlantic Division,2012,7,186.01,0.0024250916145720502
2293,monthly,South Atlantic Division,2012,8,186.51,0.0026880275254017594
2294,monthly,South Atlantic Division,2012,9,186.76,0.001340410701839101
2295,monthly,South Atlantic Division,2012,10,187.0,0.0012850717498393838
2296,monthly,South Atlantic Division,2012,11,186.43,-0.0030481283422459926
2297,monthly,South Atlantic Division,2012,12,186.73,0.0016091830713940158
2298,monthly,South Atlantic Division,2013,1,186.78,0.00026776629357905257
2299,monthly,South Atlantic Division,2013,2,188.75,0.01054716779098408
2300,monthly,South Atlantic Division,2013,3,192.65,0.020662251655629182
2301,monthly,South Atlantic Division,2013,4,194.08,0.007422787438359668
2302,monthly,South Atlantic Division,2013,5,198.92,0.024938169826875356
2303,monthly,South Atlantic Division,2013,6,200.47,0.007792077216971727
2304,monthly,South Atlantic Division,2013,7,201.9,0.0071332368933008095
2305,monthly,South Atlantic Division,2013,8,201.48,-0.00208023774145627
2306,monthly,South Atlantic Division,2013,9,200.76,-0.003573555687909513
2307,monthly,South Atlantic Division,2013,10,201.09,0.0016437537358040544
2308,monthly,South Atlantic Division,2013,11,200.73,-0.001790243174698003
2309,monthly,South Atlantic Division,2013,12,201.36,0.0031385443132567747
2310,monthly,South Atlantic Division,2014,1,199.81,-0.0076976559396106925
2311,monthly,South Atlantic Division,2014,2,201.87,0.010309794304589337
2312,monthly,South Atlantic Division,2014,3,204.95,0.015257343835141324
2313,monthly,South Atlantic Division,2014,4,206.38,0.006977311539399844
2314,monthly,South Atlantic Division,2014,5,208.52,0.010369221823820274
2315,monthly,South Atlantic Division,2014,6,210.87,0.011269902167657664
2316,monthly,South Atlantic Division,2014,7,211.51,0.0030350452885663515
2317,monthly,South Atlantic Division,2014,8,209.91,-0.0075646541534678535
2318,monthly,South Atlantic Division,2014,9,209.75,-0.0007622314325186341
2319,monthly,South Atlantic Division,2014,10,210.88,0.00538736591179978
2320,monthly,South Atlantic Division,2014,11,211.41,0.002513277693474869
2321,monthly,South Atlantic Division,2014,12,212.01,0.0028380871292748022
2322,monthly,South Atlantic Division,2015,1,208.76,-0.015329465591245706
2323,monthly,South Atlantic Division,2015,2,213.8,0.024142556045219532
2324,monthly,South Atlantic Division,2015,3,216.65,0.013330215154349734
2325,monthly,South Atlantic Division,2015,4,218.45,0.00830833141010845
2326,monthly,South Atlantic Division,2015,5,221.29,0.013000686655985305
2327,monthly,South Atlantic Division,2015,6,223.67,0.010755117718830531
2328,monthly,South Atlantic Division,2015,7,224.15,0.002146018688246265
2329,monthly,South Atlantic Division,2015,8,223.47,-0.0030336828016953588
2330,monthly,South Atlantic Division,2015,9,224.63,0.005190853358392644
2331,monthly,South Atlantic Division,2015,10,225.12,0.0021813649111872557
2332,monthly,South Atlantic Division,2015,11,225.56,0.0019545131485430023
2333,monthly,South Atlantic Division,2015,12,225.38,-0.0007980138322397634
2334,monthly,South Atlantic Division,2016,1,226.07,0.0030614961398527374
2335,monthly,South Atlantic Division,2016,2,226.54,0.0020790020790020236
2336,monthly,South Atlantic Division,2016,3,231.14,0.02030546481857498
2337,monthly,South Atlantic Division,2016,4,233.2,0.008912347495024564
2338,monthly,South Atlantic Division,2016,5,235.63,0.010420240137221315
2339,monthly,South Atlantic Division,2016,6,238.64,0.01277426473708787
2340,monthly,South Atlantic Division,2016,7,239.43,0.003310425745893575
2341,monthly,South Atlantic Division,2016,8,239.29,-0.0005847220481978166
2342,monthly,South Atlantic Division,2016,9,240.0,0.002967111036817238
2343,monthly,South Atlantic Division,2016,10,241.15,0.0047916666666667496
2344,monthly,South Atlantic Division,2016,11,241.07,-0.0003317437279701796
2345,monthly,South Atlantic Division,2016,12,241.9,0.003442983365827379
2346,monthly,South Atlantic Division,2017,1,240.06,-0.00760644894584539
2347,monthly,South Atlantic Division,2017,2,242.47,0.010039156877447386
2348,monthly,South Atlantic Division,2017,3,246.46,0.016455643997195457
2349,monthly,South Atlantic Division,2017,4,250.85,0.017812221050068855
2350,monthly,South Atlantic Division,2017,5,252.41,0.006218855889974062
2351,monthly,South Atlantic Division,2017,6,253.69,0.005071114456637993
2352,monthly,South Atlantic Division,2017,7,255.32,0.006425164570933006
2353,monthly,South Atlantic Division,2017,8,257.08,0.006893310355632121
2354,monthly,South Atlantic Division,2017,9,255.91,-0.004551112494165177
2355,monthly,South Atlantic Division,2017,10,257.15,0.004845453479738859
2356,monthly,South Atlantic Division,2017,11,257.67,0.002022166050943186
2357,monthly,South Atlantic Division,2017,12,258.53,0.003337602359607006
2358,monthly,South Atlantic Division,2018,1,259.11,0.002243453370982307
2359,monthly,South Atlantic Division,2018,2,262.23,0.01204121801551472
2360,monthly,South Atlantic Division,2018,3,265.7,0.013232658353353743
2361,monthly,South Atlantic Division,2018,4,269.14,0.0129469326307865
2362,monthly,South Atlantic Division,2018,5,271.58,0.009065913650887936
2363,monthly,South Atlantic Division,2018,6,271.6,7.364312541446871e-05
2364,monthly,South Atlantic Division,2018,7,274.23,0.009683357879234133
2365,monthly,South Atlantic Division,2018,8,275.31,0.003938299967180869
2366,monthly,South Atlantic Division,2018,9,274.81,-0.0018161345392466721
2367,monthly,South Atlantic Division,2018,10,273.25,-0.005676649321349259
2368,monthly,South Atlantic Division,2018,11,274.69,0.005269899359560792
