,frequency,place_name,yr,period,index_nsa,Pct_change
3267,monthly,United States,2009,1,194.66,0.42124730298982627
3268,monthly,United States,2009,2,195.48,-0.9361571516267588
3269,monthly,United States,2009,3,193.65,0.17041053446939713
3270,monthly,United States,2009,4,193.98,0.6031549644293364
3271,monthly,United States,2009,5,195.15,0.39456828080960804
3272,monthly,United States,2009,6,195.92,-0.3726010616578179
3273,monthly,United States,2009,7,195.19,-0.41498027562887785
3274,monthly,United States,2009,8,194.38,-0.4938779709846699
3275,monthly,United States,2009,9,193.42,-0.020680384655150874
3276,monthly,United States,2009,10,193.38,-0.10859447719516879
3277,monthly,United States,2009,11,193.17,-1.7031630170316276
3278,monthly,United States,2009,12,189.88,-0.46345060037918984
3279,monthly,United States,2010,1,189.0,-0.2275132275132279
3280,monthly,United States,2010,2,188.57,0.31818422866840024
3281,monthly,United States,2010,3,189.17,0.893376328170433
3282,monthly,United States,2010,4,190.86,0.911662999056901
3283,monthly,United States,2010,5,192.6,-0.5295950155763052
3284,monthly,United States,2010,6,191.58,-0.7412047186553963
3285,monthly,United States,2010,7,190.16,-0.3260412284392089
3286,monthly,United States,2010,8,189.54,-1.4508810805107117
3287,monthly,United States,2010,9,186.79,-0.10171850741474486
3288,monthly,United States,2010,10,186.6,-0.7395498392282889
3289,monthly,United States,2010,11,185.22,-1.533311737393376
3290,monthly,United States,2010,12,182.38,-1.0308147823226221
3291,monthly,United States,2011,1,180.5,-0.9085872576177252
3292,monthly,United States,2011,2,178.86,-0.4808229900480967
3293,monthly,United States,2011,3,178.0,1.0449438202247308
3294,monthly,United States,2011,4,179.86,0.7172245079506183
3295,monthly,United States,2011,5,181.15,0.9439690863924994
3296,monthly,United States,2011,6,182.86,0.21327791753253678
3297,monthly,United States,2011,7,183.25,-0.6930422919509027
3298,monthly,United States,2011,8,181.98,0.10990218705353527
3299,monthly,United States,2011,9,182.18,-0.9221648918651937
3300,monthly,United States,2011,10,180.5,0.1385041551246644
3301,monthly,United States,2011,11,180.75,-0.508990318118947
3302,monthly,United States,2011,12,179.83,-0.889729188678217
3303,monthly,United States,2012,1,178.23,0.16832183134152956
3304,monthly,United States,2012,2,178.53,1.5459586624096744
3305,monthly,United States,2012,3,181.29,1.412102156765414
3306,monthly,United States,2012,4,183.85,1.6752787598585712
3307,monthly,United States,2012,5,186.93,0.9950248756218798
3308,monthly,United States,2012,6,188.79,0.21717251973092289
3309,monthly,United States,2012,7,189.2,0.14270613107822783
3310,monthly,United States,2012,8,189.47,-0.184725814113051
3311,monthly,United States,2012,9,189.12,0.09517766497462787
3312,monthly,United States,2012,10,189.3,0.19545694664553537
3313,monthly,United States,2012,11,189.67,-0.27416038382452257
3314,monthly,United States,2012,12,189.15,0.11102299762093537
3315,monthly,United States,2013,1,189.36,0.6918039712716393
3316,monthly,United States,2013,2,190.67,1.8041642628625567
3317,monthly,United States,2013,3,194.11,1.385812168358143
3318,monthly,United States,2013,4,196.8,1.8495934959349398
3319,monthly,United States,2013,5,200.44,1.2073438435442228
3320,monthly,United States,2013,6,202.86,0.5471753918958768
3321,monthly,United States,2013,7,203.97,-0.1764965436093462
3322,monthly,United States,2013,8,203.61,-0.024556750650759795
3323,monthly,United States,2013,9,203.56,-0.23580271173118206
3324,monthly,United States,2013,10,203.08,-0.23143588733503861
3325,monthly,United States,2013,11,202.61,-0.2122303933665819
3326,monthly,United States,2013,12,202.18,-0.1632208922742251
3327,monthly,United States,2014,1,201.85,0.5548674758484111
3328,monthly,United States,2014,2,202.97,1.2563433019658277
3329,monthly,United States,2014,3,205.52,1.0996496691319635
3330,monthly,United States,2014,4,207.78,1.0973144672249475
3331,monthly,United States,2014,5,210.06,1.0806436256307848
3332,monthly,United States,2014,6,212.33,0.3626430556209499
3333,monthly,United States,2014,7,213.1,-0.028155795401218597
3334,monthly,United States,2014,8,213.04,-0.4834772812617416
3335,monthly,United States,2014,9,212.01,0.1132022074430381
3336,monthly,United States,2014,10,212.25,0.09893992932863682
3337,monthly,United States,2014,11,212.46,0.07060152499293793
3338,monthly,United States,2014,12,212.61,-0.5644137152532807
3339,monthly,United States,2015,1,211.41,0.9129180265834265
3340,monthly,United States,2015,2,213.34,1.3218336926970977
3341,monthly,United States,2015,3,216.16,1.0594004441154823
3342,monthly,United States,2015,4,218.45,1.4328221560998173
3343,monthly,United States,2015,5,221.58,0.992869392544435
3344,monthly,United States,2015,6,223.78,0.37983734024487603
3345,monthly,United States,2015,7,224.63,-0.26265414236745244
3346,monthly,United States,2015,8,224.04,0.08926977325478447
3347,monthly,United States,2015,9,224.24,-0.03121655369248799
3348,monthly,United States,2015,10,224.17,0.28549761341838575
3349,monthly,United States,2015,11,224.81,-0.1512388238957385
3350,monthly,United States,2015,12,224.47,-0.02227469149552519
3351,monthly,United States,2016,1,224.42,0.3520185366723325
3352,monthly,United States,2016,2,225.21,1.6695528617734539
3353,monthly,United States,2016,3,228.97,1.0874787090011893
3354,monthly,United States,2016,4,231.46,1.2658774734295264
3355,monthly,United States,2016,5,234.39,0.908741840522211
3356,monthly,United States,2016,6,236.52,0.4946727549467198
3357,monthly,United States,2016,7,237.69,0.05890024822248563
3358,monthly,United States,2016,8,237.83,0.15557330866585062
3359,monthly,United States,2016,9,238.2,0.004198152812762146
3360,monthly,United States,2016,10,238.21,0.29385836027033463
3361,monthly,United States,2016,11,238.91,-0.10045623875100773
3362,monthly,United States,2016,12,238.67,-0.4860267314702327
3363,monthly,United States,2017,1,237.51,1.1325838912045896
3364,monthly,United States,2017,2,240.2,1.5570358034970866
3365,monthly,United States,2017,3,243.94,1.324096089202257
3366,monthly,United States,2017,4,247.17,1.2096937330582165
3367,monthly,United States,2017,5,250.16,0.6236008954269181
3368,monthly,United States,2017,6,251.72,0.5800095344033167
3369,monthly,United States,2017,7,253.18,0.34757879769333044
3370,monthly,United States,2017,8,254.06,-0.03542470282610566
3371,monthly,United States,2017,9,253.97,0.21262353821316538
3372,monthly,United States,2017,10,254.51,0.24360535931791105
3373,monthly,United States,2017,11,255.13,-0.07447183788656275
3374,monthly,United States,2017,12,254.94,0.26280693496509855
3375,monthly,United States,2018,1,255.61,1.1345409021556065
3376,monthly,United States,2018,2,258.51,1.233994816448103
3377,monthly,United States,2018,3,261.7,0.9514711501719546
3378,monthly,United States,2018,4,264.19,1.1620424694348799
3379,monthly,United States,2018,5,267.26,0.7184015565367048
3380,monthly,United States,2018,6,269.18,0.438368378037012
3381,monthly,United States,2018,7,270.36,0.09616807220002954
3382,monthly,United States,2018,8,270.62,-0.18106570098292707
3383,monthly,United States,2018,9,270.13,-0.08144226853735859
3384,monthly,United States,2018,10,269.91,0.21859138231261
3385,monthly,United States,2018,11,270.5,-0.2550831792975998
3386,monthly,United States,2018,12,269.81,0.029650494792619497
3387,monthly,United States,2019,1,269.89,0.6817592352440016
3388,monthly,United States,2019,2,271.73,1.1040370956464187
3389,monthly,United States,2019,3,274.73,0.0
