,frequency,place_name,yr,period,index_nsa,Pct_change
2589,monthly,West North Central Division,2009,1,201.0,
2590,monthly,West North Central Division,2009,2,203.38,0.011840796019900512
2591,monthly,West North Central Division,2009,3,200.32,-0.015045727210148518
2592,monthly,West North Central Division,2009,4,203.23,0.014526757188498385
2593,monthly,West North Central Division,2009,5,204.3,0.005264970722826501
2594,monthly,West North Central Division,2009,6,205.79,0.007293196279980263
2595,monthly,West North Central Division,2009,7,204.75,-0.005053695514845247
2596,monthly,West North Central Division,2009,8,204.12,-0.003076923076923088
2597,monthly,West North Central Division,2009,9,202.84,-0.006270821085635925
2598,monthly,West North Central Division,2009,10,203.45,0.0030072963912441963
2599,monthly,West North Central Division,2009,11,202.19,-0.006193167854509629
2600,monthly,West North Central Division,2009,12,199.16,-0.014985904347395995
2601,monthly,West North Central Division,2010,1,195.65,-0.01762402088772841
2602,monthly,West North Central Division,2010,2,197.45,0.009200102223357876
2603,monthly,West North Central Division,2010,3,198.05,0.00303874398581927
2604,monthly,West North Central Division,2010,4,201.45,0.01716738197424883
2605,monthly,West North Central Division,2010,5,203.92,0.012261106974435387
2606,monthly,West North Central Division,2010,6,203.89,-0.0001471165162808541
2607,monthly,West North Central Division,2010,7,199.46,-0.021727402030506493
2608,monthly,West North Central Division,2010,8,200.58,0.005615160934523189
2609,monthly,West North Central Division,2010,9,197.7,-0.014358360753814026
2610,monthly,West North Central Division,2010,10,196.94,-0.0038442083965604112
2611,monthly,West North Central Division,2010,11,194.63,-0.011729460749466902
2612,monthly,West North Central Division,2010,12,193.09,-0.007912449262703514
2613,monthly,West North Central Division,2011,1,189.4,-0.019110259464498403
2614,monthly,West North Central Division,2011,2,188.44,-0.005068637803590348
2615,monthly,West North Central Division,2011,3,188.65,0.0011144130757800852
2616,monthly,West North Central Division,2011,4,190.3,0.008746355685131268
2617,monthly,West North Central Division,2011,5,192.15,0.009721492380451835
2618,monthly,West North Central Division,2011,6,195.32,0.016497527972937798
2619,monthly,West North Central Division,2011,7,196.6,0.006553348351423294
2620,monthly,West North Central Division,2011,8,194.37,-0.011342828077314238
2621,monthly,West North Central Division,2011,9,194.68,0.0015948963317384823
2622,monthly,West North Central Division,2011,10,194.52,-0.0008218615163344545
2623,monthly,West North Central Division,2011,11,194.3,-0.0011309891013777662
2624,monthly,West North Central Division,2011,12,189.33,-0.025579001544004165
2625,monthly,West North Central Division,2012,1,192.25,0.015422806739555206
2626,monthly,West North Central Division,2012,2,190.62,-0.008478543563068874
2627,monthly,West North Central Division,2012,3,192.75,0.011174063581995464
2628,monthly,West North Central Division,2012,4,194.31,0.008093385214007709
2629,monthly,West North Central Division,2012,5,199.02,0.024239617106685207
2630,monthly,West North Central Division,2012,6,201.04,0.010149733695105967
2631,monthly,West North Central Division,2012,7,202.82,0.008853959411062373
2632,monthly,West North Central Division,2012,8,201.32,-0.007395720343161383
2633,monthly,West North Central Division,2012,9,199.8,-0.007550168885356534
2634,monthly,West North Central Division,2012,10,201.16,0.006806806806806787
2635,monthly,West North Central Division,2012,11,200.78,-0.0018890435474249179
2636,monthly,West North Central Division,2012,12,199.54,-0.0061759139356509785
2637,monthly,West North Central Division,2013,1,198.98,-0.002806454846146167
2638,monthly,West North Central Division,2013,2,199.32,0.0017087144436627177
2639,monthly,West North Central Division,2013,3,202.61,0.01650612081075664
2640,monthly,West North Central Division,2013,4,204.19,0.007798233058585291
2641,monthly,West North Central Division,2013,5,206.91,0.013320926587981674
2642,monthly,West North Central Division,2013,6,211.52,0.022280218452467304
2643,monthly,West North Central Division,2013,7,211.78,0.0012291981845689026
2644,monthly,West North Central Division,2013,8,211.4,-0.001794314855038226
2645,monthly,West North Central Division,2013,9,210.77,-0.00298013245033113
2646,monthly,West North Central Division,2013,10,209.52,-0.0059306352896522085
2647,monthly,West North Central Division,2013,11,209.27,-0.0011932035127911744
2648,monthly,West North Central Division,2013,12,207.8,-0.007024418215702211
2649,monthly,West North Central Division,2014,1,208.06,0.0012512030798843554
2650,monthly,West North Central Division,2014,2,208.61,0.0026434682303182466
